Link	Mark	Placement_date	Price	Title	VIN	Views	Владельцы	Госномер	Двигатель	Коробка	Кузов	Налог	ПТС	Привод	Пробег	Руль	Состояние	Таможня	Цвет	год выпуска	Владение	Кузов №	Обмен	Гарантия	Запас хода
https://auto.ru/cars/used/sale/infiniti/fx/1102956714-3b1f5aec/	Infiniti	5 июня	1 125 000 ₽	Infiniti FX  II (S51) FX35	JN1**************	73 (73 сегодня)	1 владелец		3.5 л / 307 л.с. / Бензин	автоматическая	внедорожник 5 дв.	46 050 ₽ / год	Оригинал	полный	127 000 км	Левый	Не требует ремонта	Растаможен	чёрный	2009			Рассмотрю варианты		
https://auto.ru/cars/used/sale/mercedes/slr_klasse/1103758309-b6b4bcc6/	Mercedes-Benz	1 июня	50 000 000 ₽	Mercedes-Benz SLR McLaren	WDD**************	3416 (420 сегодня)	3 или более	******|797	5.4 л / 626 л.с. / Бензин	автоматическая	купе	93 900 ₽ / год	Оригинал	задний	28 600 км	Левый	Не требует ремонта	Растаможен	чёрный	2005					
https://auto.ru/cars/used/sale/kia/sportage/1102393845-aacb7618/	Kia	5 июня	780 000 ₽	Kia Sportage III	XWE**************	259 (259 сегодня)	2 владельца		2.0 л / 150 л.с. / Бензин	автоматическая	внедорожник 5 дв.	5 250 ₽ / год	Оригинал	полный	113 000 км	Левый	Не требует ремонта	Растаможен	серый	2012			Рассмотрю варианты		
https://auto.ru/cars/used/sale/great_wall/hover_2005/1103621109-6057ac46/	Great Wall	5 июня	380 000 ₽	Great Wall Hover	Z8P**************	228 (228 сегодня)	1 владелец		2.0 л / 122 л.с. / Бензин	механическая	внедорожник 5 дв.	3 050 ₽ / год	Оригинал	полный	145 000 км	Левый	Не требует ремонта	Растаможен	серый	2010					
https://auto.ru/cars/used/sale/mercedes/s_class_maybach/1103389124-a99ce981/	Mercedes-Benz	4 июня	4 400 000 ₽	Mercedes-Benz Maybach S-Класс  I (X222) 500	WDD**************	179 (93 сегодня)	2 владельца	******|125	4.7 л / 455 л.с. / Бензин	автоматическая	седан	68 250 ₽ / год	Оригинал	задний	58 000 км	Левый	Не требует ремонта	Растаможен	чёрный	2015					
https://auto.ru/cars/used/sale/rolls_royce/phantom/1100864694-3e8e24f7/	Rolls-Royce	5 июня	12 500 000 ₽	Rolls-Royce Phantom VII	SCA**************	52 (52 сегодня)	2 владельца		6.8 л / 460 л.с. / Бензин	автоматическая	купе	69 000 ₽ / год	Оригинал	задний	43 000 км	Левый	Не требует ремонта	Растаможен	чёрный	2008			Рассмотрю варианты		
https://auto.ru/cars/used/sale/mercedes/cla_klasse/1103423342-64a19138/	Mercedes-Benz	5 июня	2 598 000 ₽	Mercedes-Benz CLA  II (C118, X118) 200	W1K**************	1 (1 сегодня)	1 владелец		1.3 л / 150 л.с. / Бензин	роботизированная	седан	5 250 ₽ / год	Оригинал	передний	21 705 км	Левый	Не требует ремонта	Растаможен	серый	2020			Рассмотрю варианты	До мая 2022	
https://auto.ru/cars/used/sale/mercedes/a_klasse/1103451538-3b564b14/	Mercedes-Benz	4 июня	790 000 ₽	Mercedes-Benz A-Класс  III (W176) 180	WDD**************	803 (312 сегодня)	3 или более		1.6 л / 122 л.с. / Бензин	роботизированная	хэтчбек 5 дв.	3 050 ₽ / год	Оригинал	передний	116 079 км	Левый	Не требует ремонта	Растаможен	белый	2013			Рассмотрю варианты		
https://auto.ru/cars/used/sale/cadillac/cts/1103398744-c0640b90/	Cadillac	4 июня	1 450 000 ₽	Cadillac CTS III	XUF**************	1055 (629 сегодня)	3 или более		2.0 л / 276 л.с. / Бензин	автоматическая	седан	41 400 ₽ / год	Оригинал	полный	154 469 км	Левый	Не требует ремонта	Растаможен	чёрный	2015					
https://auto.ru/cars/used/sale/mercedes/s_class_maybach/1103389124-a99ce981/	Mercedes-Benz	4 июня	4 400 000 ₽	Mercedes-Benz Maybach S-Класс  I (X222) 500	WDD**************	179 (93 сегодня)	2 владельца	******|125	4.7 л / 455 л.с. / Бензин	автоматическая	седан	68 250 ₽ / год	Оригинал	задний	58 000 км	Левый	Не требует ремонта	Растаможен	чёрный	2015					
https://auto.ru/cars/used/sale/toyota/highlander/1103529094-0a928116/	Toyota	5 июня	3 380 000 ₽	Toyota Highlander III (U50) Рестайлинг	5TD**************	70 (70 сегодня)	1 владелец		3.5 л / 249 л.с. / Бензин	автоматическая	внедорожник 5 дв.	18 675 ₽ / год	Оригинал	полный	52 000 км	Левый	Не требует ремонта	Растаможен	чёрный	2018			Рассмотрю варианты		
https://auto.ru/cars/used/sale/mercedes/s_klasse/1102524565-faf17e69/	Mercedes-Benz	5 июня	11 398 000 ₽	Mercedes-Benz S-Класс Long VII (W223) 350 d Long 4MATIC	W1K**************	39 (39 сегодня)	1 владелец		2.9 л / 249 л.с. / Дизель	автоматическая	седан	18 675 ₽ / год	Оригинал	полный	33 км	Левый	Не требует ремонта	Растаможен	чёрный	2021					
